[2025-03-29 17:20:18,067] werkzeug - WARNING -  * Debugger is active!
[2025-03-29 17:20:18,076] werkzeug - INFO -  * Debugger PIN: 119-195-508
[2025-03-29 17:20:22,368] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\activations.py', reloading
[2025-03-29 17:20:22,368] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\activations_tf.py', reloading
[2025-03-29 17:20:22,369] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\agents.py', reloading
[2025-03-29 17:20:22,371] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\agent_types.py', reloading
[2025-03-29 17:20:22,371] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\default_tools.py', reloading
[2025-03-29 17:20:22,372] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\document_question_answering.py', reloading
[2025-03-29 17:20:22,373] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\evaluate_agent.py', reloading
[2025-03-29 17:20:22,374] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\image_question_answering.py', reloading
[2025-03-29 17:20:22,374] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\llm_engine.py', reloading
[2025-03-29 17:20:22,375] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\monitoring.py', reloading
[2025-03-29 17:20:22,375] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\prompts.py', reloading
[2025-03-29 17:20:22,376] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\python_interpreter.py', reloading
[2025-03-29 17:20:22,377] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\search.py', reloading
[2025-03-29 17:20:22,378] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\speech_to_text.py', reloading
[2025-03-29 17:20:22,378] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\text_to_speech.py', reloading
[2025-03-29 17:20:22,379] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\tools.py', reloading
[2025-03-29 17:20:22,379] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\translation.py', reloading
[2025-03-29 17:20:22,380] werkzeug - INFO -  * Detected change in 'C:\\Users\\suraj\\Miniconda3\\envs\\audio\\Lib\\site-packages\\~ransformers\\agents\\__init__.py', reloading
